ID,OUTLOOK,SALES,NEWCAP,VALUE,COSTGOOD,WAGES,ADS,TYPEFOOD,SEATS,OWNER,FT.EMPL,PT.EMPL,SIZE,,
1,2,480,0,600,35,25,2,2,200,3,8,30,3,,
2,4,507,22,375,59,20,5,2,150,1,6,25,2,,
3,5,210,25,275,40,24,3,1,46,1,0,17,1,,
4,5,246,.,80,43,30,1,1,28,3,2,13,1,,
5,2,148,.,85,45,35,1,3,44,1,.,.,.,,
6,3,50,.,135,40,30,10,2,50,3,2,.,.,,
7,2,72,0,125,85,10,5,2,50,1,0,5,1,,
8,3,99,7,150,43,25,1,2,130,1,1,8,1,,
9,4,160,5,85,.,.,.,.,.,2,2,10,1,,
10,4,243,7,150,38,15,2,2,50,2,2,19,2,,
11,4,200,3,225,42,22,2,1,64,1,3,12,1,,
12,4,1000,20,1500,20,20,10,1,240,3,30,40,3,,
13,4,350,.,.,31,35,.,1,111,3,10,19,2,,
14,3,550,0,410,50,26,2,2,125,3,6,16,2,,
15,3,500,10,1000,50,40,10,2,120,1,4,28,2,,
16,4,1100,8,900,.,.,.,.,.,3,13,47,3,,
17,3,416,0,400,40,21,4,1,92,3,7,15,2,,
18,2,650,.,.,63,32,5,1,90,3,20,25,3,,
19,5,292,0,425,42,13,1,2,150,3,1,16,1,,
20,3,400,10,350,30,25,5,2,90,1,15,10,2,,
21,3,42,0,15,64,35,1,3,15,2,0,0,1,,
22,2,100,15,185,50,15,1,2,80,3,0,7,1,,
23,4,75,0,160,.,.,.,2,76,1,0,10,1,,
24,3,180,0,180,50,20,2,2,65,1,1,14,1,,
25,4,201,0,250,70,27,3,2,178,1,0,20,2,,
26,6,273,60,300,32,28,10,3,110,3,7,13,2,,
27,4,150,0,150,.,.,.,2,60,.,51,80,3,,
28,5,60,4,100,.,.,.,1,0,1,0,0,1,,
29,4,1200,50,800,35,32,3,3,150,3,35,45,3,,
30,3,247,4,.,38,.,2,1,60,3,4,8,1,,
31,2,290,3,200,39,29,1,1,85,3,16,14,3,,
32,2,58,2,75,45,28,5,2,25,3,2,2,1,,
33,4,400,0,100,40,35,1,3,85,3,18,15,3,,
34,3,75,.,26,40,40,5,3,20,2,4,4,1,,
35,5,.,.,.,32,40,4,2,200,.,.,.,.,,
36,4,144,0,25,45,25,0,3,0,1,6,3,1,,
37,4,65,0,25,48,20,1,1,0,1,2,2,1,,
38,3,.,.,.,.,.,.,1,210,.,.,.,.,,
39,4,465,0,75,38,28,7,1,111,3,6,32,3,,
