ROW,PULSE1,PULSE2,RAN,SMOKES,GENDER,HEIGHT,WEIGHT,ACTIVITY,DIFF
1,64,88,1,2,1,66,140,2,24
2,58,70,1,2,1,72,145,2,12
3,62,76,1,1,1,73.5,160,3,14
4,66,78,1,1,1,73,190,1,12
5,64,80,1,2,1,69,155,2,16
6,74,84,1,2,1,73,165,1,10
7,84,84,1,2,1,72,150,3,0
8,68,72,1,2,1,74,190,2,4
9,62,75,1,2,1,72,195,2,13
10,76,118,1,2,1,71,138,2,42
11,90,94,1,1,1,74,160,1,4
12,80,96,1,2,1,72,155,2,16
13,92,84,1,1,1,70,153,3,-8
14,68,76,1,2,1,67,145,2,8
15,60,76,1,2,1,71,170,3,16
16,62,58,1,2,1,72,175,3,-4
17,66,82,1,1,1,69,175,2,16
18,70,72,1,1,1,73,170,3,2
19,68,76,1,1,1,74,180,2,8
20,72,80,1,2,1,66,135,3,8
21,70,106,1,2,1,71,170,2,36
22,74,76,1,2,1,70,157,2,2
23,66,102,1,2,1,70,130,2,36
24,70,94,1,1,1,75,185,2,24
25,96,140,1,2,2,61,140,2,44
26,62,100,1,2,2,66,120,2,38
27,78,104,1,1,2,68,130,2,26
28,82,100,1,2,2,68,138,2,18
29,100,115,1,1,2,63,121,2,15
30,68,112,1,2,2,70,125,2,44
31,96,116,1,2,2,68,116,2,20
32,78,118,1,2,2,69,145,2,40
33,88,110,1,1,2,69,150,2,22
34,62,98,1,1,2,62.75,112,2,36
35,80,128,1,2,2,68,125,2,48
36,62,62,2,2,1,74,190,1,0
37,60,62,2,2,1,71,155,2,2
38,72,74,2,1,1,69,170,2,2
39,62,66,2,2,1,70,155,2,4
40,76,76,2,2,1,72,215,2,0
41,68,66,2,1,1,67,150,2,-2
42,54,56,2,1,1,69,145,2,2
43,74,70,2,2,1,73,155,3,-4
44,74,74,2,2,1,73,155,2,0
45,68,68,2,2,1,71,150,3,0
46,72,74,2,1,1,68,155,3,2
47,68,64,2,2,1,69.5,150,3,-4
48,82,84,2,1,1,73,180,2,2
49,64,62,2,2,1,75,160,3,-2
50,58,58,2,2,1,66,135,3,0
51,54,50,2,2,1,69,160,2,-4
52,70,62,2,1,1,66,130,2,-8
53,62,68,2,1,1,73,155,2,6
54,48,54,2,1,1,68,150,0,6
55,76,76,2,2,1,74,148,3,0
56,88,84,2,2,1,73.5,155,2,-4
57,70,70,2,2,1,70,150,2,0
58,90,88,2,1,1,67,140,2,-2
59,78,76,2,2,1,72,180,3,-2
60,70,66,2,1,1,75,190,2,-4
61,90,90,2,2,1,68,145,1,0
62,92,94,2,1,1,69,150,2,2
63,60,70,2,1,1,71.5,164,2,10
64,72,70,2,2,1,71,140,2,-2
65,68,68,2,2,1,72,142,3,0
66,84,84,2,2,1,69,136,2,0
67,74,76,2,2,1,67,123,2,2
68,68,66,2,2,1,68,155,2,-2
69,84,84,2,2,2,66,130,2,0
70,61,70,2,2,2,65.5,120,2,9
71,64,60,2,2,2,66,130,3,-4
72,94,92,2,1,2,62,131,2,-2
73,60,66,2,2,2,62,120,2,6
74,72,70,2,2,2,63,118,2,-2
75,58,56,2,2,2,67,125,2,-2
76,88,74,2,1,2,65,135,2,-14
77,66,72,2,2,2,66,125,2,6
78,84,80,2,2,2,65,118,1,-4
79,62,66,2,2,2,65,122,3,4
80,66,76,2,2,2,65,115,2,10
81,80,74,2,2,2,64,102,2,-6
82,78,78,2,2,2,67,115,2,0
83,68,68,2,2,2,69,150,2,0
84,72,68,2,2,2,68,110,2,-4
85,82,80,2,2,2,63,116,1,-2
86,76,76,2,1,2,62,108,3,0
87,87,84,2,2,2,63,95,3,-3
88,90,92,2,1,2,64,125,1,2
89,78,80,2,2,2,68,133,1,2
90,68,68,2,2,2,62,110,2,0
91,86,84,2,2,2,67,150,3,-2
92,76,76,2,2,2,61.75,108,2,0
